Key,SourceUIC,TargetUIC
101-153,101,153
101-154,101,154
101-157,101,157
101-180,101,180
101-199,101,199
101-201,101,201
101-206,101,206
101-220,101,220
101-223,101,223
101-224,101,224
101-225,101,225
101-245,101,245
101-249,101,249
101-276,101,276
101-288,101,288
101-302,101,302
101-315,101,315
101-342,101,342
101-347,101,347
101-387,101,387
101-391,101,391
101-407,101,407
101-411,101,411
101-414,101,414
101-417,101,417
101-423,101,423
101-424,101,424
101-425,101,425
101-431,101,431
101-434,101,434
101-445,101,445
101-456,101,456
101-472,101,472
101-475,101,475
101-485,101,485
101-515,101,515
101-516,101,516
101-517,101,517
101-518,101,518
101-519,101,519
101-520,101,520
101-526,101,526
101-53015,101,53015
101-53021,101,53021
101-53025,101,53025
101-53026,101,53026
101-53027,101,53027
101-53032,101,53032
101-53041,101,53041
101-53044,101,53044
101-53054,101,53054
101-53085,101,53085
101-53104,101,53104
101-537,101,537
101-550,101,550
101-560,101,560
101-578,101,578
101-579,101,579
101-669,101,669
101-700,101,700
101-728,101,728
101-778,101,778
101-831,101,831
102-105,102,105
102-106,102,106
102-108,102,108
102-109,102,109
102-110,102,110
102-112,102,112
102-119,102,119
102-143,102,143
102-145,102,145
102-148,102,148
102-203,102,203
102-245,102,245
102-288,102,288
102-302,102,302
102-315,102,315
102-342,102,342
102-364,102,364
102-398,102,398
102-425,102,425
102-445,102,445
102-485,102,485
102-519,102,519
102-53014,102,53014
102-53027,102,53027
102-53109,102,53109
102-53110,102,53110
102-53115,102,53115
102-53119,102,53119
102-772,102,772
102-773,102,773
102-831,102,831
102-842,102,842
104-112,104,112
104-119,104,119
104-167,104,167
104-445,104,445
104-485,104,485
105-106,105,106
105-107,105,107
105-108,105,108
105-109,105,109
105-110,105,110
105-112,105,112
105-118,105,118
105-119,105,119
105-122,105,122
105-143,105,143
105-145,105,145
105-148,105,148
105-150,105,150
105-220,105,220
105-223,105,223
105-224,105,224
105-225,105,225
105-245,105,245
105-246,105,246
105-276,105,276
105-288,105,288
105-302,105,302
105-315,105,315
105-344,105,344
105-347,105,347
105-364,105,364
105-367,105,367
105-391,105,391
105-398,105,398
105-402,105,402
105-414,105,414
105-425,105,425
105-430,105,430
105-431,105,431
105-445,105,445
105-450,105,450
105-456,105,456
105-485,105,485
105-496,105,496
105-515,105,515
105-519,105,519
105-53014,105,53014
105-53015,105,53015
105-53021,105,53021
105-53025,105,53025
105-53027,105,53027
105-53041,105,53041
105-53054,105,53054
105-53065,105,53065
105-53104,105,53104
105-53108,105,53108
105-53143,105,53143
105-53146,105,53146
105-53150,105,53150
105-53282,105,53282
105-53297,105,53297
105-53298,105,53298
105-550,105,550
105-555,105,555
105-556,105,556
105-563,105,563
105-578,105,578
105-579,105,579
105-669,105,669
105-737,105,737
105-743,105,743
105-772,105,772
105-773,105,773
105-778,105,778
105-788,105,788
105-791,105,791
105-792,105,792
105-793,105,793
105-794,105,794
105-831,105,831
106-107,106,107
106-108,106,108
106-112,106,112
106-118,106,118
106-122,106,122
106-143,106,143
106-145,106,145
106-148,106,148
106-150,106,150
106-245,106,245
106-246,106,246
106-302,106,302
106-342,106,342
106-364,106,364
106-391,106,391
106-393,106,393
106-430,106,430
106-445,106,445
106-496,106,496
106-519,106,519
106-53025,106,53025
106-53027,106,53027
106-53056,106,53056
106-53108,106,53108
106-53282,106,53282
106-53297,106,53297
106-53298,106,53298
106-563,106,563
106-772,106,772
106-773,106,773
106-831,106,831
107-112,107,112
107-122,107,122
107-148,107,148
107-150,107,150
107-245,107,245
107-246,107,246
107-302,107,302
107-394,107,394
107-445,107,445
107-53025,107,53025
107-53027,107,53027
107-53057,107,53057
107-53297,107,53297
108-143,108,143
108-145,108,145
108-203,108,203
108-245,108,245
108-342,108,342
108-364,108,364
108-519,108,519
108-772,108,772
108-773,108,773
108-831,108,831
109-110,109,110
109-112,109,112
109-118,109,118
109-119,109,119
109-122,109,122
109-143,109,143
109-145,109,145
109-148,109,148
109-245,109,245
109-288,109,288
109-302,109,302
109-315,109,315
109-398,109,398
109-425,109,425
109-445,109,445
109-485,109,485
109-496,109,496
109-519,109,519
109-53014,109,53014
109-53025,109,53025
109-53027,109,53027
109-53108,109,53108
109-53282,109,53282
109-563,109,563
109-574,109,574
109-575,109,575
109-576,109,576
109-578,109,578
110-112,110,112
110-119,110,119
110-148,110,148
110-245,110,245
110-288,110,288
110-302,110,302
110-315,110,315
110-398,110,398
110-425,110,425
110-445,110,445
